0,1
"I found myself enjoying the series more when I wasn't trying to reconcile it with the Star Trek universe. This is NOT in the Prime universe, I don't care what the marketing claims.

Just ten years before STOS and not a fragment of a sign of anything from the original series. The tech is wrong. The bridge is wrong. The attitudes of Star Fleet is wrong. The saucer on the Discovery spins for god sake. Huh? Who came up with that bad idea? And why? Just because you could do it in CGI?

And the Klingons are the species that can cloak, contradicting Bird of Prey canon. Klingons got the tech later. Not here though. Been around for ten years, but nobody told original series characters.

Finally, there is the interesting, but completely ""out of universe"" Spore Drive. I LOVED the idea. But it ain't Star Trek. Was never mentioned by Kirk or Spock and has no shadow in anything afterward.

Also, something lacking in both this series and the Abrams series is any sense that these shows represent a blueprint for the future. Unlike Lost in Space, Star Wars, 2001 or any contemporary sci fi, Star Trek always presented a world and a humanity the way it SHOULD be. Here's what we could become. Here's what we can accomplish. Now it's all lens flares and laser beams. Pew! Pew!

With that out of my system....I still enjoyed the series. I like the long story told over several episodes. I love the characters. Captain Lorca. Michael Burnham. The one guy. They are great actors and great characters. They kept me engaged.

So long ranting review short. Great sci fi but the only thing Star Trek in it are the badges and the basic shape of the ships.",7 December 2017
"I'm a millennial who grew up on TNG and DS9 reruns, and Discovery is the first Star Trek series to air since I graduated high school. I went into this show wanting to like it. I keep trying to like it, but I can't.

It's not the ""wokeness."" Star Trek has always been progressive and anyone who can't see that never understood Gene Roddenberry. What sucks about Discovery is... nearly everything else. The cast and the effects team give it their all, but there's just not much to work with. Each season has the same storyline: 1. The whole universe is gonna be destroyed by X. 2. Discovery putters around space for 8-10 episodes, following X around and occasionally getting into hijinks along the way. 3. Michael Burnham saves the universe. Very paint-by-numbers.

Since the writers aren't clever enough to give any storyline more than superficial treatment, they put all their energy into interpersonal drama. So. Much. Interpersonal. Drama. Unfortunately, for audiences to be invested in that, the characters need to be likable. They aren't. The more likable characters on Discovery (Saru, Jett Reno, Owosekun, Dr. Culber) barely register any screen time . Maybe 10% of the show focuses on the crew in general. What's left is about 10% Tilly/Adira (depending on the season) and 80% Michael Burnham, and man is that a mistake. Tilly is annoying and barely fit to be an ensign. Adira is a know-it-all Trill with ten lifetimes' worth of experience, but acts like a present-day neurotic teenager. Big Wesley Crusher vibes, except no one ever tells them to shut up. Neither character inspires me to care about their drama.

Michael Burnham, meanwhile, is loathsome. She starts the series a mutineer, and that never really presents a problem because yayyy she ended a war she started in the first place. Burnham constantly makes everything about her, and the rest of the cast are happy to oblige. You see, Michael Burnham has the tragic backstory of losing her parents at a young age and being adopted by rich Vulcans, so characters who have PTSD or have lost a spouse or have lost contact with their entire species must comfort Michael Burnham, whom the show tells us has suffered most of all. Focusing so much on her is a huge misstep, and it's one that can't be rectified without retconning the character or making Discovery a completely different show. Sometimes it borders on parody. In one episode, an away mission needed a doctor, and Dr. Culber sent Burnham in his place because she's the main character so it must be so. Insane.

Every once in a while, Discovery shows a glimmer of potential. There are a few genuinely good episodes, especially in late season 2 and early season 3. Then the next episode it's back to tearful melodrama, and I sigh.",27 December 2021
"You people make me feel ashamed, quickly dismissing this show because of the silliest of reasons. Give this show a chance. Remember how everyone wanted Enterprise to be cancelled... well by the time it was being cancelled WE ALL BEGGED FOR IT TO CONTINUE! Remember TNG's beginning and how average it was? Can you imagine if they pulled the plug before season 3???

The silliness in ""This isn't Gene Roddenberry vision"" is just plain stupid. But you're right, he definitely wouldn't like this show, but you know what else he didn't like? The wrath of khan, He even had doubts about Star trek 6, likely he would of hated and Deep Space Nine.

I respect if you legitimately don't like the show, if it's not your cup of earl grey. Not every star trek show can be as optimistic as TNG, because it's not always exciting. But the amount of 1 star reviews for silly bullshit just sickens me.

up to episode 4 now and it'e becoming more Trek each episodes, Klingons are behaving more Klingony, the crew is warming up, Michael's getting better.

The pilot was a movie, a prologue, but the real pilot is E03: ""Context is for Kings"" and it shows. I can't rate the show so far as the seasons not done yet, and episodes aren't too stand- alone, but at the moment its 8.5ish for me. off course its not perfect, but its definitely not trash, unless you're purposely blinding yourself in the hate.",9 October 2017
"Amazing how narrow minded people are, in this case old Star Trek fans. Shake their old time Star Trek just a tiny bit and everything is a disaster. These people would give any Shakespeare performance a one star if it wasn't performed in an original theater, in original clothing and spoken in the original way.

I'm a Star Trek fan and I've watched every one of them. I started watching Star Trek as a kid in the 70's. Some of the best are the old ones. The one prior to this one, Enterprise, was the worst ever, with only lame acting and 95% one to one conversation, like a poor soap opera. I was so disappointed. Now cones this, Discovery, and finally some real storytelling, real action, good science, NICE graphics and filming. EVERYTHING is great in this Star Trek. The best Star Trek ever, no doubt.

Stop living in the past, fossils. Let Star Trek catch up to a modern Star Trek, one that is more complete in every way.",26 October 2017
"I think that people judged Discovery way too soon and yes, it is not more of the exact same formula from the past Series(which would be a total lack of innovation) in the franchise yet people forget that the first seasons from now-iconic DS9, Voyager and even TNG didn't do very well and almost got these shows canceled. I personally believe that it is good to have a Star Trek series back after so many years with new unseen stuff (Yet familiar enough to feel like Trek/Trek-Ish for some). Let's wait and see what the show has to offer in the next season, maybe then it will be fair to have a more reasonable opinion about it.",2 March 2018
"First of all, this series does not deserve to be trashed after two episodes. Frankly, no TV- show should be considered ""garbage"" or ""beyond terrible"" based on so little data. Most pilots are not great ( although there are those that exist) and Star Trek: Discovery was launched into space with a mighty long prologue. These two episodes feel like the first 30 pages of a book that is promising but you have to get through the slow beginning at first.

I am a big admirer of the Star Trek universe and the franchise, but I also feel that there is room for something new. I threw myself over the cliff into the unknown with Discovery because I was very adamant in not comparing it to the old. There is nothing that stops me from being a fan of both. Yes, there are a lot of people giving low scores and expressing their outrage/disgust/disappointment/etc. in regards to Discovery. I'm not saying that they should be ignored. Those concerns may or may not be valid, but then again we all have certain evaluative standards when it comes to capturing the true ""essence"" of Star Trek and values are often subjective. There is no point in converting anyone to their specific Star Trek religion. It is simply a matter of personal preference and has nothing do to with ""good"" or ""bad"".

That being said, I think Star Trek:Discovery should be discovered on one's own, without comparing an essentially innovated Star Trek with the ones Trekkies consider good old classics. The writers are people with a different set of human experience, ideologies and ideas on what a series such as Star Trek can be right now or might be in the future. There is absolutely no rule written in stone that declares Star Trek cannot be re-invented, shaped to fit into the modern world, or even transformed.

At its core, Star Trek:Discovery wants to be a sci-fi series that creates a cohesive unit from what we know and what we love, but it might just end up being a series that creates a story within the story. The two first episodes already show the lead character Burnham as an outcast - not Vulcun, but also not entirely human like. Engineered by logic but also flawed by emotion. She doesn't fit.

Overall, I personally enjoyed the potential. The prologue was not the story, so liking or disliking it has no value. It is the potential of the series that will grow from the introductory two episodes that keeps me hooked. It may not be perfect or Star Trek enough for some fans but it still has the making of a good series by itself. Characters can grow, elements may be added or taken away, story lines can expand and the old can be tampered with. There is nothing that stops this series from developing further. Again, a pilot episode cannot deliver enough punch to make us soar through warp for an entire season, therefore it should not be taken as the only marker that defines it.

Also as a side-note: I'm willing to pay good money to see Jason Isaacs in anything, so there's that. He could be the guy who cleans the ship's lavatory and I would still watch Star Trek:Discovery.

7/10",26 September 2017
"From the beginning, I've followed and loved (most) Star Trek. But this is not Star Trek. This is a sob fest crossed with crossed with disobedient child!

Missed opportunity, mainly botched by faulty characters. Michael could have been so much more. Actually, her character should have been a couple levels less aggressive than Philippa, without the crying and only ""near"" romantic episodes.You would have done better if you modeled Janeway

I can't take any more of this. So disappointing.",26 November 2020
"STD is one of worst WRITTEN shows on television only Batwoman is worse ! STD is mind-numingly boring predictably underwhelming and dumb space drama ! There is no logic, they lack their own internal continuity ! Last 3 seasons is about some galaxy ending threat - how original ! Mostly unlikable characters like Galaxy savoir Micheal Bhurnam, episodes with less Micheal or someone constantly remind how great Micheal is are better ones !

Rated 4* for good visual effects, except for make up and cheaply reused sets/props !",13 October 2021
"Discovery is by far the best Star Trek series ever. Picard was cute in way (probably 6 or 7) but this is maybe a masterpiece, it ties so beautifully together and captures the spirit of the original Kirk Star Trek like none of all the other spin offs does.

Great and highly memorable characters that you will learn to love, witty and funny dialogue and a great mixture between action and emotion.

Highly recommend!",7 April 2020
"As a Star Trek appreciater (I like ToS, TNG and Voyager - DS9 was a disaster, Enterprise was unwatchable as are the new movies), this series messed with me. At first, I hated everyone. I thought it was a disgrace, the ultimate insult to Starfleet. I wanted them all prosecuted as war criminals.

The season was divided into two parts, and I assume anyone who is reading this has already watched it so I won't waste time with summarization. The end of the first part left me angry. Very angry!!! They even freaked me out by putting in an Al Green song (I love Al Green, but does it really belong in Star Trek???). I suppose this had already been done in Star Trek: First Contact (my favorite TNG movie) with ""Magic Carpet Ride"" which is the only part that grated on me. To put pseudo-contemporary pop or R&B as it may be into the actual TV show, kind of upset me, though I would quote Prince about Michael Burnham ""Sho'nuff do be cookin', in my book'"" (and I love your hairdo). One of the things that I have come to grudgingly accept about the movies is that they like to make characters do stupid things that they wouldn't do in the TV show, an egregious example being Data saying ""lock and load"" in Insurrection. I guess it gets laughs from the audience or something.

The first episode of the seond part (the best episode of the season in my opinion) directed by Jonathan Frakes was a catharthsis of sorts for me if only because the put Lorca into ""the agonizer"", but really it was a lot more well-paced and just all around better and more effective than the rest.

Anyhow, to make a long story short, the last episode, which wrapped things up way to quick (this series has a tendency to pay to little attention to pacing, a bunch of developments happen really quick in between personal and interpersonal moments of self discovery), nevertheless pleased me... When the words ""We are Starfleet"" were uttered in the last episode after all that torture, I felt greatly reassured, and playing the theme song from TOS was a really, really nice touch after all that agony.

This is a very immature crew, I would love to see them grow up a little more. I would also like to get to know the rest of the bridge crew a little better assuming we are all alive a year from now.

(also I would like to change my star rating of Twin Peaks Season Three to 3 stars, but the rest of the review sort of stands, I had to say that).",12 February 2018
"Where the story goes is completely ludicrous. Seems that the writers never had a plan, or they did and abandon it on the fly.

The characters are TERRIBLE people...the audience has no connection to them because their idiotic decisions are not relatable. Also - the Klingons are boring low brow mush mouth morons...",31 January 2022
I have been watching star trek since the 70's i consider myself an expert. Well written slow to start but with time it is great im addicted to it. The theme song is awesome.,22 January 2019
"Wow. Love this show. So intelligent and creative. And thank god, no sexism or racism. Diversity and powerful women. Love it!",7 December 2020
"It's one of my first reviews on imdb (haven't connected since 2019 or such) and I felt the need to comment and rate this:
High quality CGI, mostly great characters that you get attached to and really root for, who actually look genuine alien (Saru, or the Klingon leader), excellent soundtrack, and so much interesting sub-plots intertwined with the main season plot.
Just try this for one season, and believe me, you'll binge it to the final episode of Season 3 in no time.

People should stop comparing it to other serios under the same franchise, in my opinion all are very good in their own way.",17 March 2021
"I watched first 3 episodes and was probably like the most of the more hardocre trekkie people...seemed fake, dark forced etc etc....but i kept on going and the more i watch it, i must admit...its a really good show. Well, good if you can get over your own bias and watch this show for what it is. And the more it progresses it seems to be getting more and more star trekky.

All in all, its fun. If you mlike sci fi as a genre at all, watch it! If this show was called something else but star trek, i bet it would have like 8 to 8.5 rating.",14 November 2017
"This show is garbage. I don't know what world this is, but it's not a functioning one. Hollywood might think so, but no way the world could function with people like this. It's totally unwatchable, after trying for several years now. Please cancel before the 'Star Trek' name is ruined totally! I liked Picard season one, and I like 'lower decks'.

No One likes this show!!",11 December 2021
"To be honest, I'm not surprised by what I've read in the reviews. Some even share that same wording and such as others, so it's pretty obvious that people have been signing up for multiple accounts to review this show. I've seen similar activities from the very vocal minority of haters on several other Websites, so all I can suggest to people that haven't watched Discovery yet is this - watch the show yourself, then decide if you like it or not. Just keep in mind that it is no different than any other Trek. The first season has rough spots, but it does get better as it goes along. The last half of season one was great, and season two has been mindblowing. Absolutely amazing. I do wish that they didn't focus on the character Michael Burnham so much, but overall it is a good show. The cast is brilliant - especially Doug Jones, Anson Mount, Jason Isaacs, Michelle Yeoh, Mary Wiseman, and Jayne Brook. The makeup (Andorians, Tellarites, Saurians, and Kelpians) and special effects are incredible. Is it dark? Yep, some, but so was DS9.

I'm one of the old Trekkie types that avoided Discovery when it first came out due to the stuff that I read on Facebook, etc.. So I went in expecting to despise it, but that turned out not being the case and I'm relieved. I missed having new Trek, and that's exactly what this is - Star Trek. Does it look new and follow along with what's happening in our current world? Yes, but so did all of the others. If the technology DSC has had been available during the production of all of the other series, they would have had it at well.

None of us can speak for Gene Roddenberry or how he would feel about DSC. But I do know that his son has been involved in the project from the very beginning, he's a producer. I take his support of the show more to heart than the word a disgruntled fan. There's also the fact that fan hate for new Trek isn't a Discovery-centric thing. The first movie with the original cast got bashed, TNG caught absolute hell, as did DS9, VOY, and ENT. Now DSC is catching the same flack from people that will never be happy with anything new. It deserves the same opportunity to prove itself as all of the others did, and if it was as bad as a lot of these reviews made it out to be it wouldn't have been renewed.",10 March 2019
"I've most likely seen all the Star Trek series and movies; even the cartoon. Star Trek for me is about modern day issues - religious dogma, political ideologies, philosophical concepts, cultural differences, social injustice, democracy, freedom and wars; simulated in a trekkie universe and i believe that is the message Gene Roddenberry wanted to tell.

Can i make a judgment after two episodes? No, not really; and just like all the other TV- Series in this franchise "" It grows on you and the characters you learn to love or hate ""

Was the first two episodes enough to give it a high or a low score; No. Was it a usual meaningless warmongering feast brought to you by a cynical TV- network; Yes. The problem within this series and at the same time its greatest feature, it has a huge old fan base, and that is the core audience. Why not let the old trekkie fan base mentor the new fan base without warmongering as a lesson.

Im convinced that in the first day at the Star Trek Academy they learn tolerance.

The first two episodes got half the message wrong, its about being on the edge of the universe and still holding on to humanity, not forcing it onto others.",25 September 2017
Why does Burnham have to give everyone she comes across a hug and a long winded emotional speech on the verge of tears. Why is everyone on the bridge a commander. Why does Burnham go off solo on missions apparently expert in every field so often leaving the ship. More sci-fi less hugging.,6 January 2022
"There is no fandom like the Star Trek fandom when it comes to complaining about change. It was the original. It is one of the loudest. Ironic considering that an ongoing theme throughout every single series is the idea of keeping an open mind, but we humans are an emotional race, of course.

There is fair criticism: it being very focused on Michael Burnham being the most accurate. It is much less of an ensemble than previous Treks have been, which in my opinion leaves it feeling like more of a spin-off than anything. In addition, they have taken unnecessary and somewhat off-putting visual direction in places, particularly with the Klingons - I mean just why? It's as though they just did it to troll their most trollable followers. Then there's the wobbly camera, the jaunty camera angles, the dingy sets...It's trying too hard to be down with the kids and missing by a mile.

However, all that said, a lot of the complaints are just reactionary nonsense. ""IT'S NOT STAR TREK!!1"", I see repeated over and over, and that's really very unfair. Just a few episodes into the first series you're dealing with themes of racial identity, racial tension, corrupt power, not judging a whole person based on single factors, the ethics of animal testing for scientific development, the treatment of prisoners of war, the effects of PTSD...I could go on. They're just not presented in the in your face ""this is the issue we're looking at today children"" way that they would have been in the older series. If people are missing these things then it being dumbed down is not the issue.

As for it being ""dark"", honestly that's laughable. It's darker than TOS and TNG definitely, but that's really not hard. I'd put it on par with DS9 which was full of war crimes, grey morality, rebel sympathy, religious bigotry, eugenics, racism, the whole bag. Of course it broke that up with the ""comic relief"" like Quark's disgusting objectification of women, the ambiguous relationship between Bashir and O'Brien being played for laughs, the toxic masculinity Worf repeatedly threw at Jadzia, but that was just good fun right?

Anyway, I'll stop, I think you've probably either got my point or furiously downvoted me by now. I would certainly not be put off by the most critical of critics here though, make up your own mind, be objective, THAT is Star Trek.",21 October 2020
"Loved it plain and simple. I cant wait for more! All these negative comments make me want to puke if any of you tits love star trek then i would give high praise as if this flops you wont see a new show anytime soon so if that's what you want keep bashing.

my only complaint and its not a big one as im not sure about the Klingon looks but if i remember right its do to them not dealing with that virus that changed there looks either way when i saw the new look of the Klingons i wasn't sure i liked it but come the end of the second show i was digging the look i also like the new look of the architecture inside their ships. My fingers are crossed that this show stays on air for a decade or more.",26 September 2017
"I liked it but this is not why I came in to comment..,,it perplexes me that this series' rating has defied the laws of maths ....90% of the reviewers give it a 1, 2 or 3 ...so how come it gets an average rating of 7.4?",27 December 2020
"Being one of the few high ratings, I have wondered where I went wrong.

Yes, it is not Roddenberry's universe. We know the plot as it is 'history' in most Star Trek presentation.

Till their return from season break, my rating would have been four to five.

Great return, can hardly wait to see the next episode. The development of war and being part of it is another progression point.",12 January 2018
"1st rule of any drama - does characters come anywhere near real speech? This is set in the Star Trek Universe but should take place in Port City at General Hospital with all the dramatic speeches. These characters don't talk, they stand on soap boxes and make non nonsensical, illogical statements. They take bold positions and then don't follow through on any of it. Reminds me of Voyager at times with some awful writing and occasional bad acting/storylines.

The over arching storyline isn't bad (although in the ""real world"" the lead character would have been in military prison), the special effects are great. But wow, the awful acting by several of the characters are cringe worthy. The female lead is solid, well done Star Trek mold. Jason Issaacs is good choice as Captain. Doug Jones is very believable ""alien"" 1st officer.The love interest, Shazad Latif, was a good storyline and the highlight of the season. He was the best part of this season and probably will take on more in season 2...but from there it goes downhill fast...Mary Wisemen as the the funny side kick has some good lines, but she is about 30 lbs overweight to be believable as a young Ensign in a military organization. The Admiral, is pathetic, can someone teach her how to deliver a line like someone who is allegedly in charge? and the lead engineer, is just downright awful.

For trekkies, it's great to return to the Universe, which is very pro female (unlike the Star Wars universe). Strong female lead characters, evil Klingons, and last minute twists to save the day. Let's get some better dialogue writing for season 2 please. Without giving away plot, they steal too many Star Trek stories for my taste too. Go in with low expectations and you'll be fine. But it's no STNG or Deep Space 9",27 November 2018
"Stop destroying Star Trek legacy. It has never been about this ridiculous amount of personal feelings. It is about science fiction and moral decision making wrapped in exciting action and cool gadgets.

Why are you so focused on changing the themes of the show that succeeded over 50 years! People want to watch the Star Trek series for what it has to offer and the way it offers it, so it does not make any sense that the show needs to change direction. Please save the show before it's too late, there is a large enough old school loyal fan base that should guarantee this show to succeed IF it goes back to its originality.",15 December 2023
"I know their have been mixed reviews of this new series but whatever you think of the story line the production values are out of this world.I could see how die hard fans like myself might be searching for familiar trek territory but I think that this series is excellent.There are some small weaknesses in dialog but the casting,pace,production and premise are all refreshing in a slightly jaded star trek universe.",9 October 2017
"Michael Burnham know all, Michael Burnham always right, Michael Burnham do everything, ec....",28 August 2019
"First this is way more better than those 1-2 stars ratings. How can you judge the serie before, you have seen more than pilot episode or few more? Give Discovery a chance. The old Star trek is old classic, this is something else.

Yes, there are some big flaws. First the plot. Why to make it so complicated? Not like this.Next one Then all crew members are too distant. Meaning you never feel that if some one dies, you would feel sad or angry. You feel empty. Third: Its not getting better after episode 10.

Then good sides: Main character is is intresting.Nice to see female main character.Serie is not copying any other series/movies that has been already made. Some good new ideas.

So what to say. Starting was intresting, now its losing the touch. 7/10 because 1-2 stars are not fair(Go watch battleship movie thats worth of 2 stars)just wanna raise average points. TOTAL fair review score 6/10.",11 February 2018
"...even Star Trek Picard, - but this is just woke sh.....

Well, this is the first Star Trek series I quit watsching, because of it's agenda, other than ""exploring new worlds"".

It's a pitty, that entertainment today has to be that unreaslistic, and I don't speak about spore drive, but about the insane immense amount of LGTBQ+++ figures in many new seires, which has noting to do with real world, real environment.

It's simply unrealistic, as said, the spore drive is more plausible than that much ""special people"" in one ship...

And the story otherwise, - well - DS9 and the fire-caves were more beliveable.. Sorry, for me that's not Star Trek anymore, that's just trivial... Star Trek was always modern, against the mainstream, look at it now - a disgrace... mainstream all over... no future in it at all...",14 December 2021
"I loved these Star Trek Discovery TV series from the very first episode. As it went along my admiration only grew.

The actors/The sets/The costumes/The stories - and the imaginations, that gave us such enthralling action. In the very end, it did preach a little...but whether or not we like being preached to, what was said was a lesson we as a human race need to hear.

I will now give it a week or so before I go back and rewatch every episode of all 4 series. Personally, I do hope we have more, though I bet Doug Jones as Saru won't miss having to get all his gear on and deserves an accolade of his own, for walking on those feet with his swinging arms. A wonderful character.

WELL DONE TO EVERYONE CONCERNED. BRILLIANT.",22 October 2022
"I'm aware how passionate people get about their favourite shows, I've seen all the Star Trek series from TOS to Discovery and I've loved them all (some more than others to be honest). That's why I don't get all the 1 star reviews for Discovery, the show has been brilliant, the acting was great and the stories were also great. It's a welcome addition to the Star Trek family",19 April 2019
"I am not a trekkie, I watched a few of the old movies and some episodes of the different series along the way, I am more of a sci-fi fan in general. I have only just watched episode 2 and can already tell, this is up there with battlestar galactica and stargate universe, I really enjoyed the 3 latest Star Trek movies and this series is more in the direction of those and in my opinion this series gives the franchise the same type of upgrade.

If you want an action packed sci-fi series that has decent acting then this is for you, if your a old Trekkie that wants the days of will shatner back then you might be disappointed.

I can't believe all the low scores, too many fan boys giving low scores when a new series is slightly different (but still better in my view) than other Star Trek ones. If the lows scores nearly put you off giving this a try, then after watching episode one... Put up your own thoughts.",4 October 2017
"I am a HUGE Star Trek fan. I loved all of the Nimoy and Shatner episodes.

Now, I'm a HUGE fan of the new series. Everything has been updated. It's pure ""eye candy"" with all of the new sets, special effects, and costumes. I love the fresh new stories and how the show gives depth to all of the characters.

I was blown away by the first episode and eagerly waited for each subsequent episode. There have been no disappointments.

Live long and prosper.",19 April 2019
"There isn't a Star Trek iteration that I don't like. It's complete pseudoscience and has been from the first ever series, but you kind of have to accept that if you want FTL, aliens, a galactic federation and many episodes over many generations.

In that sense, this series is no different to its predecessors. It's full of nonsensical happenings. At the same time, however, this series is unlike any before it, which is perhaps why it has quite a few detractors. Yes, this is diversity heavy. Racial diversity, sexual diversity... every single human is represented in some way, but it's only 'political agenda' is equality, which is pretty much no different to all the Star Trek iterations before it (hence: different but the same).

But what I like about this iteration is that characters seem more human. This, imo, started with Voyager, where human characters actually act like human characters rather than robots trying to imitate human emotion. That is, people cry and laugh and sometimes mess about even when on the job. Given all the pseudoscience people accept, it's really not that hard to imagine slips of professionalism every now and then.

Overall, it's pretty far-fetched and camp (again, like every other iteration before it), but there's something fun about it (like every other iteration before it). And as a white man who's watched every episode to date, I can honestly say that I do not feel positioned as inferior or bumbling because of Michael Burnham.. I mean, I honestly can't believe how triggered some people are in these reviews, not because of poor writing but because of imagined agendas or 'politics' that regards minorities as existing and equal? So, 'equality' bad? Yeah okay, that doesn't jive with the meaning and heart of this franchise whatsoever, but okay. Head on over to PureFlix where a straight white guy will play every protagonist on every show (quite literally).

7/10 - great visuals, a great protagonist and lots of fun in deep space with our different but the same human comrades (aliens too).",8 February 2021
Stop it! Just stop it. This is not Star Trek. Its more like the all female Ghost Busters. Made only to empower rather than focusing on making a good show.,18 December 2020
"Each season of this show gets better and better. The stories are in perfect sync with the Star Trek universe. The characters are more real and emotionally vulnerable than the vast majority of TV shows in which everyone is a caricature. The visuals are beyond spectacular. As with any complex multi year show, there are a few characters that annoy me. I think that would technically take my rating from 10 stars to 9.99 stars. I hope this show continues for another 10 seasons. It's that good.",21 December 2020
"Firstly I'd like to say I've not seen series three yet. But I really enjoyed seasons one and two. It's well written with a good amount of emotional attachment. I was excited by the links to the original series and the way those stories linked together. It's not highbrow and it's not preachy. It's just space opera at its best. Ignore the negative reviews and give it a chance, you might be surprised.",27 February 2018
"Details that make a movie good or bad (yes it's fantasy, but show some intelligence to help us out): 1. Why do Klingons have a mouth, a nose, two eyes, etc. for a completely alien species they show look like human knockoffs. I know it's cheaper to make rubber mask prosthetics to fit a human. Their language even has a grammatical structure similar to all the Indo-European languages. Usual contact lenses. No imagination. 2. Two animated moons one of which is so close/large that it's tidal forces would tear itself and it's planet apart. I guess someone's basic grade school gravitational physics wasn't passed. 3. Star ship uses small combustion/flame propulsion to hover land makes no sense & not even ball park able to handle the mass of that ship. Space ships look awesome cute, but fail basic engineering principles. More dumb science. For some reason said flame didn't move when ship started accelerating forward. 4. Same old loads of computer screen displays as prop background to represent tech. Same old laser in vacuum of space sound/visuals that look flashy, but again fail grade school science. 5. Same old tired 20th century (mostly naval) make believe language: Recalibrating sensors; navigation coordinates (a couple of numbers w/decimal points added) useful only old Earth; displacement activated space hub drive (huh!); unable to materialize in the known universe (well then, maybe the unknown universe); travel on a network of mycelium (the universe has a fungi construction?); tardigrade for navigation (from flea sized to oversized so what does it do with it's 8 legs, mouth, etc. in space - chew on rocks?, walk on nothingness?). 6. Same old plot antagonists; same old daytime actors giving us the usual character issues.",8 December 2018
I know of star trek. But I'm not into it so from a non-biased perspective this show is really great. I like all the characters. The lead is really good in her role. I was totally hooked watching this show. Definitely didn't watch anything else until I finished this. I imagine if you are a fan of the franchise you might have issues but for the rest of you its a really good show. Have fun with.,11 January 2019
"At the start, as a die-hard trekkie, just hated every detail of this series.

unlike other star trek series, it was focused too much on violence as its main drive. but now, after giving it up at first attempt and again giving it a go ahead with finishing 2nd season, i gotta admit i'm loving it.

i admint that every start, i was very skeptical. hated machael character, hated sarek, hated pike... at start of the first season, and at the start of the second season... stories seemed tooo difficult and banal at best with my skepticism taking over me.

but trust me, if you remember what the star trek is about, its interaction with characters, its relationships, bonding, peace, science...and can get past the part where it feels like... too far away from star trek's ideals, you will see that it successfully captures it, embraces it.

also, at the early stage of the season two, where it links with THE original series with captain Pike, I was just amaze how much effort was put into this. this is one of good stories linking up with core of star trek, and am grateful that this series exists. hope it continues and hope to see more from it.",9 June 2019
"This is the best Star Trek - straight from the start. The other series have always had a rocky start and struggled to find its footing but Discovery found it straight from the start.

Sonequa Martin-Green truly understands what it is to be human with a Vulcan heritage; she performs her lines in between the two contrasting cultures. Georgiou plays as her mentor, almost her god parent and guides her to becoming human again.

The music is surreal, the special effects rival any blockbuster movie from this year and the story grips. This is The Next Generation of Star Trek and could potentially become a viral hit if it continues its strong vibe from the first two episodes.",24 September 2017
"That's the first 5 episodes out of the way, so what do I think...

Well, the cast is excellent: some truly excellent actors and many who are very competent. Jason Isaacs never dips below ""very good"" in anything he does and frequently ventures into ""outstanding"" territory. What I've seen so far gives me no reason to expect otherwise here. Doug Jones is great as Saru, Anthony Rapp makes a very decent eccentric engineer and as for the remainder, it's really too early to tell how they'll do. Martin-Green is perhaps the one let-down, as she seems a bit strained and wooden so far. Still, it's early days still and plenty of time for things to improve.

The one thing that's sure, and which has already been well established, is that this isn't Star Trek for the Trekkies. As for me, I've never been one of those. The lore and canon holds little to no interest for me, so the flood of niggles based on Klingon foreheads and such are of no consequence.

The ""feel"" of the show is a slightly different matter. Having watched and loved TNG, DS9, Enterprise and Voyager (and some of the original series, but that's just too dated for me to enjoy), Discovery has a very different feel to it. It really does feel like a hybrid of Star Trek and Star Wars, having lost the slightly gritty, low budget feel that's always been there before. Nothing inherently wrong with that as far as I'm concerned; the fact that the budget is is less constrained is a good thing, as is the fact that computer technology and with it special effects technology has moved on tremendously.

However, for me at least Star Trek has always been about going boldly where no man has gone before. In other words: discovery of new races, new phenomena, new regions of space, new dilemmas and new whateveryoucanthinkof. Being a Sci-Fi show Discovery does retain some of that, of course, but the focus appears to have shifted markedly towards action and war. Is that a good thing or a bad thing? Too early to say I think, although for many it's obviously distinctly bad, but there's no doubt that this isn't Star Trek as we knew it. I guess we'll just have to wait and see/hope, and if we presume that once again some 5, 6, 7 series is the aim then there's certainly scope for some traditional Star Trek exploration and discovery down the line.

Anyway, for now I'll give it a six. It's enjoyable as is, I'm sure it'll improve as the cast grows into the roles and each other and it's too early to judge the story, plot line(s) and what it'll end up feeling like.

Fingers crossed.",28 October 2017
As a star trek fan of many many years I was hugely disappointed with this series. This series is populated by an assortment of extremely annoying characters many of whom I took great delight in witnessing their demise at the hands of the Klingons. Why on earth an actor of the calibre of Jason Isaccs agreed to appear in this series is beyond me. No more please.,18 December 2021
"I am a star trek nut. Own all the box sets. Watched them more than once. That out of the way, the new series. If you go and watch all the first episodes of all of the series, they take a while to settle in to it. For a first round this is not too bad. The klingons look very different and a bit scary, so probably not a great idea to let your 6 year old watch. All in all there is a story going here with good character development. The critics might be over critical of this too early-on?",27 September 2017
"Finally, we get to see the Klingon war all the other series only talked about!

If you want to see more of the same thing that all the other series showed, I recommend you re-watch TNG. If you want to see the darker side of what made the federation what it is, you should watch this.

Can't wait for the next episodes!",25 September 2017
